PRDCT_NM,IFTKN_ATNT_MATR_CN,PRIMARY_FNCLTY,DAY_INTK_LOWLIMIT,DAY_INTK_HIGHLIMIT,INTK_UNIT,INTK_MEMO,SKLL_IX_IRDNT_RAWMTRL,CRET_DTM,LAST_UPDT_DTM
아라비아검(아카시아검),반드시 충분한 물과 함께 섭취할 것 (액상제외),배변활동 원활에 도움을 줄 수 있음,19.99,20.01,g,,아라비아검(아카시아검)식이섬유,20080922,20200820
베타카로틴,"(1) 흡연자는 섭취 시 전문가와 상담할 것
(2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(1) 어두운 곳에서 시각 적응을 위해 필요
(2) 피부와 점막을 형성하고 기능을 유지하는데 필요
(3) 상피세포의 성장과 발달에 필요",0.42,7,mg,식품원료를 사용하여 제조가공한 경우는 1.26mg 이상(상한섭취량 없음),,20080626,20210924
비오틴,(1) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,"(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",0.009,0.9,mg,,,20080626,20210924
공액리놀레산,"(가) 영･유아, 임산부 및 수유부는 섭취를 피할 것
(나) 간 질환이 있는 사람은 섭취 전 전문가와 상담할 것
(다) 위장장애가 발생할 수 있음
(라) 식사조절, 운동을 병행하는 것이 체지방 감소에 효과적임
(마) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 과체중인 성인의 체지방 감소에 도움을 줄 수 있음,1.4,4.2,g,"(24.12.23.) 섭취시주의사항, 주된기능성 현행화 / '24 신뢰성 확보",공액리놀레산,20100112,20241223
가르시니아캄보지아 추출물,"(가) 어린이, 임산부 및 수유부는 섭취를 피할 것
(나) 간･신장･심장질환, 알레르기 및 천식이 있거나 의약품 복용 시 전문가와 상담할 것
(다) 남성의 경우 과다 섭취를 피할 것
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음,750,1500,mg,"(24.12.23.) 섭취시주의사항, 일일섭취량 현행화 / '24 신뢰성 확보",총(-)-Hydroxycitric acid,20100224,20241223
대두이소플라본,"(1) 영유아, 어린이, 임산부와 수유부는 섭취에 주의
(2) 대두에 알레르기를 나타내는 사람은 섭취에 주의
(3) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의",(1) 기능성 내용 : 뼈 건강에 도움을 줄 수 있음,24,27,mg,"(24.12.20.) 섭취시주의사항, 주된기능성 현행화 / '24 신뢰성 확보",대두이소플라본 비배당체,20110107,20241220
스쿠알렌,"(가) 어린이, 임산부 및 수유부는 섭취를 피할 것
(나) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 기능성 내용 : 항산화에 도움을 줄 수 있음,10,10,g,"(24.12.20.) 섭취시주의사항, 주된기능성 현행화 / '24 신뢰성 확보",스쿠알렌,20080626,20241220
은행잎 추출물,"(1) 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 수술 전후, 의약품(항응고제) 복용 시 전문가와 상담할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(1) 기능성 내용 : 기억력 개선･혈행 개선에 도움을 줄 수 있음,28,36,mg,"(24.12.20.) 섭취시주의사항, 주된기능성 현행화 / '24 신뢰성 확보",플라보놀 배당체(flavonol glycoside),20130102,20260723
밀크씨슬(카르두스 마리아누스) 추출물,"(가) 어린이, 임산부 및 수유부는 섭취를 피할 것
(나) 알레르기 반응이 나타나는 경우에는 섭취 중단
(다) 설사, 위통, 복부팽만 등의 위장관계 장애가 나타나는 경우에는 섭취에 주의
(라) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",① 간 건강에 도움을 줄 수 있음,130,130,mg,"(24.12.20.) 일일섭취량, 섭취시주의사항 현행화 / '24 신뢰성 확보",실리마린,20130102,20241220
비타민 E,,항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요,3.3,400,mg α-TE,2021.7.11: 기능성 내용 변경,,20080626,20210715
비타민 K,"(1) 항응고제 등 복용 시 전문가와 상담할 것
(2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(1) 정상적인 혈액응고에 필요
(2) 뼈의 구성에 필요",0.021,1,mg,,,20080626,20210924
비타민 B1,(1) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(1) 탄수화물과 에너지 대사에 필요,0.36,100,mg,,,20080626,20210924
비타민 B2,(1) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(1) 체내 에너지 생성에 필요,0.42,40,mg,,,20080626,20210924
나이아신,,(1) 체내 에너지 생성에 필요,4.5,670,mg,"니코틴산 4.5～23 mg, 니코틴산아미드 4.5～670 mg",,20080626,20241219
판토텐산,(1) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,"(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",1.5,200,mg,,,20080626,20241219
비타민 B6,"(1) 손발 따끔거림, 작열감 또는 저림 등의 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(1) 단백질 및 아미노산 이용에 필요
(2) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",0.45,67,mg,,,20080626,20260723
엽산,,"(1) 세포와 혈액생성에 필요
(2) 태아 신경관의 정상 발달에 필요
(3) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",120,400,μg,,,20080626,20241219
비타민 B12,(1) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(1) 정상적인 엽산 대사에 필요,0.00072,2,mg,,,20080626,20210924
비타민 C,"(1) 과량 섭취하지 않도록 주의할 것
(2) 신장질환이 있는 경우 섭취 전 전문가와 상담할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(1) 결합조직 형성과 기능유지에 필요
(2) 철의 흡수에 필요
(3) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",30,1000,mg,21.7.11: 기능성 내용 변경 26.7.23 주의사항 변경,,20080626,20260723
칼슘,,"(1) 뼈와 치아 형성에 필요
(2) 신경과 근육 기능 유지에 필요
(3) 정상적인 혈액응고에 필요
(4) 골다공증발생 위험 감소에 도움을 줌",210,800,mg,,,20080626,20241219
마그네슘,,"(1) 에너지 이용에 필요
(2) 신경과 근육 기능 유지에 필요",94.5,250,mg,,,20080626,20241219
철,특히 6세 이하는 과량섭취하지 않도록 주의,"(1) 체내 산소운반과 혈액생성에 필요
(2) 에너지 생성에 필요",3.6,15,mg,,,20080626,20241219
